Model,Best Model,MSE,R²
Linear Regression,LinearRegression(),12875.402735948968,0.7357734775698823
Ridge Regression,Ridge(alpha=1),12875.436016216841,0.7357727945986676
Lasso Regression,Lasso(alpha=0.1),12876.511970143616,0.7357507140804735
Random Forest,RandomForestRegressor(n_estimators=1000),65.24343411336457,0.9986610868754389
Gradient Boosting,"GradientBoostingRegressor(learning_rate=0.2, n_estimators=200)",3032.3509367953943,0.9377706811003219
SVR,"SVR(C=10, kernel='linear')",13711.583108431052,0.7186135458398728
MLP Regressor,"MLPRegressor(activation='tanh', hidden_layer_sizes=(50,),
             learning_rate='adaptive', max_iter=1000)",1274.0422712134987,0.9738543511488148
