Model,Best Model,MSE,R²
Linear Regression,LinearRegression(),4080.7659546986933,0.8617726269724999
Ridge Regression,Ridge(alpha=1),4080.5220725967592,0.8617808879663067
Lasso Regression,Lasso(alpha=0.1),4078.4008461387493,0.8618527400558758
Random Forest,RandomForestRegressor(n_estimators=1000),29.783652379699753,0.9989911413510815
Gradient Boosting,"GradientBoostingRegressor(learning_rate=0.2, n_estimators=200)",495.16619259915217,0.9832272855697103
SVR,"SVR(C=10, kernel='linear')",4810.851399805886,0.837042516428772
MLP Regressor,"MLPRegressor(activation='tanh', hidden_layer_sizes=(50,),
             learning_rate='adaptive', max_iter=1000)",393.7935830304855,0.9866610697350298
