iter	Passed	Remaining
432	2566	397
433	2572	391
434	2578	385
435	2583	379
436	2589	373
437	2595	367
438	2601	361
439	2607	355
440	2613	349
441	2618	343
442	2624	337
443	2630	331
444	2636	325
445	2642	319
446	2648	314
447	2654	308
448	2660	302
449	2666	296
450	2672	290
451	2678	284
452	2683	278
453	2689	272
454	2695	266
455	2701	260
456	2707	254
457	2713	248
458	2719	242
459	2725	236
460	2730	231
461	2736	225
462	2743	219
463	2748	213
464	2754	207
465	2760	201
466	2766	195
467	2772	189
468	2778	183
469	2784	177
470	2790	171
471	2796	165
472	2801	159
473	2807	154
474	2813	148
475	2819	142
476	2825	136
477	2831	130
478	2837	124
479	2843	118
480	2848	112
481	2854	106
482	2860	100
483	2866	94
484	2872	88
485	2878	82
486	2886	77
487	2894	71
488	2900	65
489	2905	59
490	2911	53
491	2917	47
492	2923	41
493	2929	35
494	2935	29
495	2941	23
496	2947	17
497	2953	11
498	2959	5
499	2965	0
