iter	RMSE
158	5.263304413
159	5.231287442
160	5.208455278
161	5.190458475
162	5.168635819
163	5.150166836
164	5.127591602
165	5.116843254
166	5.102312706
167	5.07691402
168	5.066688388
169	5.058984446
170	5.049157921
171	5.027595275
172	5.018139133
173	4.998005491
174	4.974315263
175	4.960352771
176	4.93492957
177	4.917780376
178	4.895486847
179	4.890855076
180	4.882110415
181	4.856169175
182	4.837223394
183	4.82270492
184	4.801007226
185	4.791217605
186	4.783710544
187	4.772125632
188	4.753302987
189	4.745413774
190	4.734412672
191	4.724525987
192	4.703096707
193	4.69192168
194	4.681762509
195	4.671969908
196	4.665129832
197	4.658161597
198	4.649002038
199	4.645838124
200	4.639386174
201	4.621385673
202	4.599762882
203	4.581272076
204	4.576467141
205	4.56888408
206	4.560969799
207	4.549761377
208	4.542300116
209	4.53018674
210	4.523452047
211	4.500616173
212	4.487784039
213	4.461344826
214	4.453462857
215	4.446879581
216	4.442941656
217	4.433642219
218	4.411209542
219	4.405496009
220	4.394032595
221	4.386326905
222	4.369080836
223	4.34876424
224	4.337909403
225	4.328510694
226	4.318290173
227	4.310078429
228	4.303450367
229	4.288972529
230	4.282789883
231	4.276500149
232	4.26992542
233	4.259978848
234	4.242709445
235	4.223579535
236	4.220129206
237	4.210250962
238	4.195448435
239	4.187729155
240	4.182111658
241	4.176020327
242	4.162332275
243	4.156166194
244	4.151551071
245	4.148293439
246	4.136541654
247	4.13414747
248	4.127181016
249	4.109835248
250	4.106913826
251	4.096950421
252	4.080026477
253	4.057658242
254	4.049585235
255	4.04281887
256	4.037908682
257	4.034925077
258	4.030902791
259	4.025531792
260	4.016076815
261	4.01272499
262	4.010606052
263	4.006334786
264	3.990190216
265	3.984467091
266	3.969021118
267	3.93789272
268	3.932348734
269	3.919467779
270	3.902162669
271	3.891058346
272	3.88234517
273	3.877195892
274	3.868812883
275	3.857635151
276	3.84929734
277	3.844110582
278	3.841933858
279	3.829572259
280	3.827957175
281	3.817717167
282	3.802918014
283	3.796711582
284	3.792481938
285	3.775084799
286	3.765556628
287	3.756388587
288	3.7392961
289	3.733777298
290	3.723502256
291	3.713104105
292	3.709789578
293	3.697561171
294	3.688592011
295	3.677984332
296	3.671174974
297	3.662156217
298	3.651976746
299	3.648825127
300	3.640356368
301	3.633870832
302	3.624608537
303	3.621819466
304	3.611891935
305	3.608197005
306	3.599386759
307	3.592282676
308	3.587718046
309	3.584182132
310	3.572843514
311	3.56927288
312	3.560406475
313	3.556441187
314	3.543017709
315	3.523503057
316	3.513920352
317	3.507498386
318	3.500242761
319	3.490854431
320	3.476006493
321	3.474635477
322	3.454917482
323	3.450854164
324	3.437437417
325	3.4293315
326	3.422127152
327	3.420805928
328	3.412038723
329	3.411022342
330	3.400665872
331	3.391968859
332	3.382128127
333	3.374075138
334	3.368826276
335	3.363449631
336	3.358248209
337	3.352059599
338	3.349987298
339	3.341149106
340	3.340388047
341	3.332051249
342	3.327532981
343	3.319305905
344	3.311902091
345	3.30853686
346	3.287825246
347	3.279433721
348	3.276271662
349	3.273163377
350	3.269583506
351	3.264874793
352	3.259809336
353	3.255879067
354	3.250481667
355	3.246211857
356	3.241775592
357	3.238928697
358	3.226286211
359	3.222557428
360	3.209342538
361	3.20834102
362	3.203966169
363	3.197248888
364	3.191456892
365	3.181245238
366	3.176474425
367	3.170871531
368	3.163858953
369	3.157639733
370	3.145950235
371	3.144659886
372	3.137822948
373	3.134469329
374	3.130964068
375	3.124654604
376	3.122705223
377	3.11093273
378	3.100660065
379	3.098105212
380	3.088679646
381	3.087495201
382	3.082957893
383	3.078263279
384	3.075103515
385	3.070056272
386	3.067445565
387	3.059113277
388	3.05383393
389	3.046720067
390	3.041506688
391	3.039685576
392	3.022921425
393	3.019395935
394	3.015926488
395	3.009416557
396	3.005559115
397	2.997436372
398	2.986829152
399	2.984122466
400	2.979873033
401	2.971600544
402	2.970590953
403	2.961467453
404	2.951537676
405	2.947536276
406	2.942964031
407	2.934417632
408	2.930892109
409	2.926247549
410	2.92388394
411	2.919301437
412	2.916629759
413	2.911419634
414	2.906197935
415	2.903860475
416	2.901012966
417	2.899070426
418	2.896077755
419	2.881678654
420	2.870150902
421	2.864677581
422	2.853856513
423	2.849157617
424	2.846894725
425	2.844305131
426	2.843708677
427	2.843027778
428	2.837008684
429	2.830706772
430	2.829384741
431	2.827014261
432	2.826267705
433	2.823673961
434	2.809447814
435	2.804976268
436	2.802171984
437	2.801180749
438	2.795971132
439	2.788760788
440	2.785995329
441	2.780666976
442	2.769442605
443	2.768087308
444	2.761008207
445	2.75575459
446	2.750722155
447	2.748153751
448	2.741734761
449	2.739385604
450	2.737630173
451	2.735125972
452	2.728237597
453	2.723972119
454	2.714252403
455	2.711575577
456	2.709858736
457	2.70166283
458	2.699071373
459	2.691987657
460	2.689606397
461	2.687340056
462	2.684746272
463	2.665944604
464	2.663614123
465	2.661650928
466	2.656165586
467	2.651586057
468	2.64774877
469	2.644737246
470	2.636454191
471	2.63027879
472	2.626107836
473	2.622730689
474	2.62102762
475	2.617091915
476	2.616474798
477	2.613833503
478	2.611765229
479	2.609492711
480	2.607824655
481	2.605755743
482	2.603003259
483	2.598935178
484	2.597565706
485	2.596572163
486	2.59179779
487	2.589619578
488	2.585033793
489	2.581876045
490	2.576583652
491	2.569934184
492	2.562901302
493	2.560999962
494	2.553909985
495	2.549925009
496	2.543093096
497	2.539474228
498	2.536439515
499	2.534868928
